Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.00439453125,0.0158233642578125,0.00061798095703125,0.0157470703125,0.00510406494140625,0.0474853515625,0.0010919570922851562,0.003116607666015625,0.01146697998046875,0.0035877227783203125,0.00614166259765625,0.012481689453125,0.036895751953125,0.007080078125
1,0.055572509765625,0.06951904296875,0.04351806640625,0.05609130859375,0.048553466796875,0.042327880859375,0.047637939453125,0.0311279296875,0.02862548828125,0.03179931640625,0.031585693359375,0.0307159423828125,0.043487548828125,0.041961669921875
2,0.07952880859375,0.07879638671875,0.05169677734375,0.055328369140625,0.06744384765625,0.060577392578125,0.04742431640625,0.10028076171875,0.04412841796875,0.08160400390625,0.0723876953125,0.08160400390625,0.09417724609375,0.078857421875
3,0.05133056640625,0.06927490234375,0.0772705078125,0.0732421875,0.041748046875,0.054412841796875,0.0048675537109375,0.0155181884765625,0.0670166015625,0.06329345703125,0.07171630859375,0.035736083984375,0.024444580078125,0.0455322265625
4,0.0540771484375,0.048919677734375,0.0760498046875,0.07281494140625,0.0751953125,0.06439208984375,0.0750732421875,0.057769775390625,0.11871337890625,0.06756591796875,0.087158203125,0.1724853515625,0.0821533203125,0.0665283203125
5,0.355224609375,0.11761474609375,0.1483154296875,0.0272216796875,0.04864501953125,0.08538818359375,0.0013666152954101562,0.12188720703125,0.171630859375,0.0899658203125,0.10247802734375,0.0238037109375,0.10992431640625,0.152099609375
6,0.1444091796875,0.1414794921875,0.1533203125,0.243408203125,0.1527099609375,0.0880126953125,0.162109375,0.07611083984375,0.09197998046875,0.08966064453125,0.0877685546875,0.111083984375,0.0859375,0.13037109375
7,0.1568603515625,0.151611328125,0.18994140625,0.10009765625,0.224365234375,0.278564453125,0.1781005859375,0.09283447265625,0.103759765625,0.0699462890625,0.162353515625,0.1356201171875,0.06927490234375,0.08465576171875
8,0.09564208984375,0.1937255859375,0.0908203125,0.0673828125,0.10516357421875,0.12237548828125,0.18603515625,0.128173828125,0.0977783203125,0.126708984375,0.1021728515625,0.2069091796875,0.122314453125,0.08404541015625
9,0.200927734375,0.2138671875,0.3154296875,0.1622314453125,0.28564453125,0.2149658203125,0.283447265625,0.0006031990051269531,0.006855010986328125,0.0819091796875,0.0005450248718261719,0.1259765625,0.038787841796875,0.0005664825439453125
10,0.307373046875,0.29638671875,0.178955078125,0.160400390625,0.237060546875,0.1854248046875,0.237060546875,0.2421875,0.17529296875,0.148193359375,0.07696533203125,0.134765625,0.1817626953125,0.11468505859375
11,0.68994140625,0.1824951171875,0.486572265625,0.493896484375,0.421875,0.251708984375,0.1934814453125,0.037628173828125,0.0002624988555908203,0.033599853515625,0.08953857421875,0.01264190673828125,0.06268310546875,0.16650390625
12,0.4599609375,0.324951171875,0.1651611328125,0.275390625,0.282470703125,0.314453125,0.2310791015625,0.1396484375,0.072021484375,0.12274169921875,0.0118560791015625,0.183837890625,0.215576171875,0.07623291015625
13,0.1680908203125,0.1268310546875,0.30859375,0.390625,0.337890625,0.407958984375,0.405029296875,0.1636962890625,0.076416015625,0.0938720703125,0.2069091796875,0.1876220703125,0.213134765625,0.03662109375
14,0.43310546875,0.42138671875,0.38671875,0.2205810546875,0.295166015625,0.3271484375,0.21630859375,0.408203125,0.23095703125,0.84375,0.270751953125,0.38330078125,0.33642578125,0.37353515625
15,0.159423828125,0.231689453125,0.2471923828125,0.2254638671875,0.18408203125,0.3564453125,0.32275390625,0.23486328125,0.33056640625,0.320068359375,0.31298828125,0.417236328125,0.356689453125,0.46142578125
16,0.6162109375,0.6767578125,0.228271484375,0.0838623046875,0.06781005859375,0.1343994140625,0.04718017578125,0.220947265625,0.2418212890625,0.173583984375,0.0762939453125,0.6298828125,0.27001953125,0.023895263671875
17,0.5810546875,0.277099609375,0.489501953125,0.689453125,0.444580078125,0.61279296875,0.19775390625,0.207275390625,0.298095703125,0.271728515625,0.49365234375,0.49072265625,0.1590576171875,0.1490478515625
18,0.11767578125,0.51611328125,0.08343505859375,0.331298828125,0.96923828125,0.1165771484375,0.09326171875,0.2017822265625,0.37939453125,0.34814453125,0.13330078125,0.49169921875,0.1395263671875,0.41845703125
19,0.405029296875,0.1488037109375,0.249755859375,0.051605224609375,0.017059326171875,0.1309814453125,0.1253662109375,0.27880859375,0.471435546875,0.2056884765625,0.278076171875,0.6025390625,0.50244140625,0.2802734375
20,0.08929443359375,0.69970703125,0.54638671875,0.1549072265625,0.1973876953125,0.052734375,0.2412109375,0.88232421875,0.80224609375,0.1341552734375,0.68359375,0.94287109375,1.6435546875,0.3876953125
21,0.1728515625,0.52783203125,0.7197265625,0.9482421875,0.48388671875,0.73046875,0.900390625,0.1292724609375,1.0166015625,0.73583984375,0.1357421875,0.5087890625,0.79248046875,0.58544921875
22,1.0439453125,0.42822265625,0.77099609375,0.693359375,0.331298828125,1.0576171875,0.830078125,1.013671875,0.234619140625,0.1888427734375,1.3359375,1.0693359375,0.71044921875,0.9990234375
23,1.1181640625,1.037109375,0.8837890625,0.5263671875,0.830078125,0.59814453125,0.67529296875,0.88037109375,1.3193359375,0.53564453125,0.56103515625,0.65771484375,0.64697265625,0.59423828125

Top 10 Most Divergent Heads
Rank,Layer,Head,Divergence
1,20,12,1.6435546875
2,22,10,1.3359375
3,23,8,1.3193359375
4,23,0,1.1181640625
5,22,11,1.0693359375
6,22,5,1.0576171875
7,22,0,1.0439453125
8,23,1,1.037109375
9,21,8,1.0166015625
10,22,7,1.013671875
