Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.0,0.0,0.0
1,0.22848360655737704,0.2285452178030303,0.22820490056818182,0.22784978693181818
2,0.1714267418032787,0.17188979640151514,0.17252604166666666,0.17271839488636365
3,0.2136964224726776,0.2132901278409091,0.21382279829545456,0.2144442471590909
4,0.3000448258196721,0.2999082623106061,0.3008404356060606,0.3015358664772727
5,0.19294313524590165,0.19316702178030304,0.19359611742424243,0.1934481534090909
6,0.16908139088114754,0.16933001893939395,0.16907848011363635,0.16925603693181818
7,0.19401041666666666,0.19377367424242425,0.19316702178030304,0.19367009943181818
8,0.15398469518442623,0.15414891098484848,0.15477035984848486,0.15553977272727273
9,0.18154190146857924,0.18190696022727273,0.18245442708333334,0.18212890625
10,0.15326694842896174,0.1528912168560606,0.15437085700757575,0.1552734375
11,0.13193199282786885,0.1322946259469697,0.13296046401515152,0.13374467329545456
12,0.12823653090846995,0.12775213068181818,0.12794448390151514,0.1283291903409091
13,0.15390464907786885,0.15253610321969696,0.15370501893939395,0.15474076704545456
14,0.15668758538251365,0.15261008522727273,0.15224017518939395,0.1529208096590909
15,0.13460019637978143,0.13219105113636365,0.13199869791666666,0.13227982954545456
16,0.0987608862704918,0.09644294507575757,0.09647253787878787,0.09721235795454546
17,0.10303801656420765,0.10284978693181818,0.10239109848484848,0.10267223011363637
18,0.07674820696721311,0.07677852746212122,0.07642341382575757,0.07652698863636363
19,0.054380656591530054,0.05498342803030303,0.05508700284090909,0.05530894886363636
20,0.05874850580601093,0.059688683712121215,0.060236150568181816,0.06045809659090909
21,0.053697596482240435,0.05455433238636364,0.054791074810606064,0.05482066761363636
22,0.04934308828551912,0.049286813446969696,0.04952355587121212,0.04905007102272727
23,0.03716273907103825,0.037716027462121215,0.037642045454545456,0.03702059659090909
24,0.028960681352459015,0.029563210227272728,0.029666785037878788,0.029563210227272728
25,0.030852437670765027,0.03147194602272727,0.03172348484848485,0.03160511363636364
26,0.028837943989071038,0.028542258522727272,0.028349905303030304,0.028364701704545456
27,0.026473915642076504,0.026322798295454544,0.02626361268939394,0.026278409090909092
28,0.04253650102459016,0.043501420454545456,0.04372336647727273,0.04323508522727273
29,0.04335563951502732,0.04366418087121212,0.04367897727272727,0.043634588068181816
30,0.07268720116120218,0.07182173295454546,0.07202888257575757,0.07217684659090909
31,0.4530769723360656,0.45167495265151514,0.4515121922348485,0.45006214488636365
max_delta_to_certain,0.0,0.004077500155240915,0.0044474101931197,0.0037667757234227384
