Layer,certain,fully_manipulated,partially_manipulated
0,11.89143613387978,11.890765344311378,11.892359203296703
1,11.81390881147541,11.814324476047904,11.813770604395604
2,11.713925887978142,11.714773577844312,11.714852335164835
3,11.728526297814208,11.728246631736527,11.72865728021978
4,11.612149931693988,11.611760853293413,11.612955013736263
5,11.027407786885245,11.025776571856287,11.023772321428572
6,10.921618852459016,10.920471556886227,10.919660027472528
7,10.729977800546449,10.725439745508982,10.739345810439561
8,11.256915983606557,11.244900823353293,11.261924793956045
9,9.974556010928962,9.97370883233533,9.940693681318681
10,10.299820696721312,10.285600673652695,10.296694711538462
11,9.575734289617486,9.569610778443113,9.578167925824175
12,9.565957991803279,9.531437125748504,9.541234546703297
13,8.167563183060109,8.109117702095809,8.119436813186812
14,6.162845799180328,6.061307073353293,6.100433550824176
15,7.293907957650274,7.2126684131736525,7.253026270604396
16,7.549223019125683,7.499789483532934,7.480807864010989
17,6.521580430327869,6.4743871631736525,6.394926167582417
18,5.988409323770492,5.850205838323354,5.9110662774725276
19,5.168929303278689,5.120532372754491,5.004056490384615
20,3.212890625,3.185815868263473,2.9204477163461537
21,1.798129055669399,1.8663220434131738,1.685454584478022
22,1.0831038678278688,1.1381660507110778,0.9949095338255495
23,0.8246696764002732,0.8658059856848802,0.8168792389251374
24,0.5600002267973019,0.588020735872006,0.49268034211881867
25,0.3762475519232411,0.38990080142449474,0.28474957811963425
26,0.5394917472464139,0.4759979248046875,0.650766863141741
27,0.3331015031845843,0.3811117160819962,0.5138908218551468
