Layer,certain,fully_manipulated,partially_manipulated,delta_fully_manipulated,delta_partially_manipulated
0,11.734375,11.734375,11.734375,0.0,0.0
1,11.734375,11.734375,11.734375,0.0,0.0
2,11.734375,11.734375,11.734375,0.0,0.0
3,11.734375,11.734375,11.734375,0.0,0.0
4,11.7421875,11.7421875,11.7421875,0.0,0.0
5,11.7421875,11.7421875,11.7421875,0.0,0.0
6,11.7421875,11.7421875,11.7421875,0.0,0.0
7,11.7421875,11.7421875,11.7421875,0.0,0.0
8,11.7421875,11.7421875,11.7421875,0.0,0.0
9,11.746243169398907,11.746351047904191,11.747020947802199,0.00010787850528437559,0.000777778403291407
10,11.75,11.75,11.75,0.0,0.0
11,11.75,11.75,11.75,0.0,0.0
12,11.75,11.75,11.75,0.0,0.0
13,11.75,11.75,11.75,0.0,0.0
14,11.75,11.75,11.75,0.0,0.0
15,11.75,11.75,11.75,0.0,0.0
16,11.75,11.75,11.75,0.0,0.0
17,11.745432035519126,11.745087949101796,11.745012019230769,-0.00034408641733030265,-0.00042001628835741656
18,11.7421875,11.7421875,11.7421875,0.0,0.0
19,11.7421875,11.742000374251496,11.74217032967033,-0.00018712574850354713,-1.717032967007981e-05
20,11.734972677595628,11.735123502994012,11.734520947802197,0.00015082539838395803,-0.0004517297934309994
21,11.72660519125683,11.726609281437126,11.726571085164835,4.0901802957904465e-06,-3.410609199505643e-05
22,11.718664617486338,11.718469311377245,11.718664148351648,-0.00019530610909335167,-4.691346902063742e-07
23,11.70952868852459,11.709019461077844,11.709040178571428,-0.0005092274467468627,-0.0004885099531630743
24,11.69526980874317,11.695031811377245,11.695226648351648,-0.00023799736592522436,-4.316039152207907e-05
25,11.670252732240437,11.669302020958083,11.66949690934066,-0.0009507112823534669,-0.0007558228997766037
26,11.639088114754099,11.640063622754491,11.638478708791208,0.0009755080003923666,-0.0006094059628907189
27,11.607923497267759,11.60914109281437,11.606456043956044,0.001217595546611605,-0.0014674533117151611
28,11.581070696721312,11.58219498502994,11.57815934065934,0.0011242883086275413,-0.0029113560619720147
29,11.545807718579235,11.547062125748504,11.542324862637363,0.00125440716926839,-0.0034828559418720317
30,11.505934084699453,11.510058008982035,11.50417239010989,0.0041239242825827915,-0.0017616945895628788
31,11.558828551912569,11.556652320359282,11.552773008241758,-0.0021762315532871668,-0.006055543670811403
max_delta_to_certain,0.0,0.0041239242825827915,0.006055543670811403
